"Jahr"	"Messstation Basel-Binningen"	"DateTime"
1962	3241	" "
1963	3830	" "
1964	3172	" "
1965	3362	" "
1966	3103	" "
1967	3090	" "
1968	3164	" "
1969	3253	" "
1970	3372	" "
1971	3281	" "
1972	3284	" "
1973	3672	" "
1974	3087	" "
1975	3260	" "
1976	3281	" "
1977	3085	" "
1978	3219	" "
1979	3384	" "
1980	3160	" "
1981	3232	" "
1982	3251	" "
1983	2934	" "
1984	3368	" "
1985	3338	" "
1986	3492	" "
1987	3096	" "
1988	2910	" "
1989	2929	" "
1990	2832	" "
1991	3231	" "
1992	3143	" "
1993	2920	" "
1994	2915	" "
1995	2849	" "
1996	3124	" "
1997	3168	" "
1998	2870	" "
1999	3003	" "
2000	2834	" "
2001	2710	" "
2002	2791	" "
2003	2794	" "
2004	3100	" "
2005	3035	" "
2006	3140	" "
2007	2239	" "
2008	3014	" "
2009	3079	" "
2010	3066	" "
2011	2851	" "
2012	2898	" "
2013	3161	" "
2014	2465	" "
2015	2591.4	" "
2016	2726	" "
