"Jahr"	"MIV Stadtstrassennetz"	"MIV Total"	"ÖV"	"Velo (wetterbereinigt)"	"Fussgänger"
2010	100	100	100	100	
2011	99.2	100.5	102.6	103.1	
2012	98.2	99.5	104.3	103.1	
2013	98.5	100.7	104.7	103.9	100
2014	98.2	101.1	106.2	114.7	107
2015	97.1	100.9	109.5	118.4	103
2016	97.2	101.4	108.7	122.9	102.5
2017	95.2	100.2	107.5	125.6	103.7
