"Jahr"	"Holz"	"Umweltwärme"	"Sonnenenergie"	"Kehrricht und Klärschlamm"	"Deponie-	 Klär-	 Biogas"
1995	21.47	11.75	0.44	189.78	
2000	22.14	15.39	2.19	195.81	
2002	21.83	18.69	3.31	198.11	
2004	20.78	17.11	3.83	198.47	
2006	22.67	17.36	5.14	227.86	
2010	147.04	15	10.57	350.62	
2012	149.01	20.4	15.28	365.71	
2014	176.55	26.16	24.96	372.01	
2016	210.69	32.92	35.57	377.48	
