"Jahr"	"Hochwasser"	"DateTime"
2002	0	" "
2003	0	" "
2004	0	" "
2005	0	" "
2006	33.3	" "
2007	66.7	" "
2008	0	" "
2009	0	" "
2010	0	" "
2011	0	" "
2012	0	" "
2013	33.3	" "
2014	0	" "
2015	0	" "
2016	0	" "
2017	33.3	" "
