"Jahr"	"Kantone Basel-Stadt und Basel-Landschaft"	"DateTime"
2001	14	" "
2002	12	" "
2003	43	" "
2004	14	" "
2005	19	" "
2006	25	" "
2007	8	" "
2008	9	" "
2009	17	" "
2010	19	" "
2011	15	" "
2012	13	" "
2013	15	" "
2014	9	" "
2015	32	" "
2016	13	" "
