Jahr	Stromverbrauch pro Einwohner	Stromverbrauch_MWh	Mittlere_Bevoelkerung
1995	7.4	1470000.0	199,173.0
2000	7.6	1445000.0	189,507.0
2004	8.3	1572000.0	188,796.0
2010	8.5	1628288.8	191,946.0
2012	8.0	1545361.4	192,900.0
2014	7.3	1440100.0	196,086.0
2016	7.4	1459719.6	197,926.0
