"Jahr"	"Gas"	"Heizöl"	"Brennholz"	"Fernwärme"	"DateTime"
1983	61.3	76.6			" "
1984	61.6	79.9			" "
1985	62.1	84.6			" "
1986	61.8	51.1			" "
1987	58.9	43.2			" "
1988	57	38.1			" "
1989	56.6	47			" "
1990	57.7	53.3			" "
1991	60.7	54.5			" "
1992	61.9	49.3			" "
1993	61	48.2			" "
1994	59	41.9		65.1	" "
1995	61.5	40.7		69.2	" "
1996	60.6	48.8		68.6	" "
1997	61.5	52.5		70	" "
1998	61.8	41.3		68.8	" "
1999	60.1	46.4		67.8	" "
2000	67.2	77.3		67.9	" "
2001	79.9	71.5	80.8	81.1	" "
2002	74.2	62.5	80.3	80	" "
2003	73.1	67.3	83	79.3	" "
2004	73.4	77	83.8	77.8	" "
2005	80.1	107.2	84.9	82.2	" "
2006	93.5	120.7	91.5	89.9	" "
2007	98	123.2	103.3	94.9	" "
2008	110.8	167.1	97.4	101.4	" "
2009	103	105.4	103.1	104.1	" "
2010	98.1	130.5	106.3	95.6	" "
2011	104.2	148.4	104.7	99.2	" "
2012	110.3	156.7	99.4	101.2	" "
2013	110.1	151.3	106.5	102	" "
2014	112.3	149.2	107.1	104.4	" "
2015	104.9	112.7	100.7	101.3	" "
2016	101.9	106.5	96.4	98.6	" "
