"Jahr"	"Bevölkerung"	"DateTime"
1971	238292	" "
1972	235606	" "
1973	232639	" "
1974	228930	" "
1975	223781	" "
1976	218822	" "
1977	214964	" "
1978	212261	" "
1979	210264	" "
1980	209044	" "
1981	207538	" "
1982	206300	" "
1983	204565	" "
1984	203686	" "
1985	203073	" "
1986	201824	" "
1987	199926	" "
1988	198739	" "
1989	197874	" "
1990	197622	" "
1991	199092	" "
1992	199781	" "
1993	200153	" "
1994	200068	" "
1995	199173	" "
1996	198021	" "
1997	195972	" "
1998	193700	" "
1999	191843	" "
2000	189507	" "
2001	188215	" "
2002	188196	" "
2003	188552	" "
2004	188796	" "
2005	188705	" "
2006	188441	" "
2007	188332	" "
2008	189080	" "
2009	190682	" "
2010	191946	" "
2011	192174	" "
2012	192900	" "
2013	194655	" "
2014	196086	" "
2015	197005	" "
2016	197926	" "
