"Jahr"	"Minergie P"	"Minergie A"
2007	1379	0
2008	1379	0
2009	2547	0
2010	16504	0
2011	16504	0
2012	19030	0
2013	19660	0
2014	44589	0
2015	59133	0
2016	91198	775
