"Jahr"	"> 20 kg N/ha/Jahr über Critical Load"	"15 - 20 kg N/ha/Jahr über Critical Load"	"10 - 15 kg N/ha/Jahr über Critical Load"	"5 - 10 kg N/ha/Jahr über Critical Load"	"0 - 5 kg N/ha/Jahr über Critical Load"	"Critical Load nicht überschritten"
2009	616	5140	1269	10219	6473	438
2015	254	604	3845	10686	8839	98
