"Jahr"	"Wasserverbrauch Haushalte und Kleingewerbe"
1989	19.5
1990	20.4
1991	18.9
1992	19.7
1993	18.6
1994	17.5
1995	17.7
1996	17.2
1997	16.2
1998	16.6
1999	15.9
2000	15.7
2001	15.1
2002	14.3
2003	16.5
2004	15.9
2005	16.8
2006	15.5
2007	15.3
2008	15.5
2009	15.2
2010	15.1
2011	15.8
2012	16
2013	15.2
2014	15.3
2015	14.9
2016	15.6
