"Jahr"	"Ozonschichtabbauende Stoffe (Halone) in Löschanlagen"	"Zielpfad (2029: 0)"
2005	15075	
2006	13907	14282.7
2007	13866	13661.7
2008	13296	13040.7
2009	12119	12419.7
2010	12096	11798.7
2011	11965	11177.7
2012	9630	10556.8
2013	9469	9935.8
2014	7988	9314.8
2015	6351	8693.8
2016	6351	8072.8
2017	6351	7451.8
2018	5900	6830.8
2019		6209.9
