	 Einkommenssteuer	 Vermögenssteuer	 Quellensteuer	 Gewinnsteuer	 Kapitalsteuer
2006	1023135594	212637042	200131849	662809438	127051351
2007	1069643932	209167422	248449270	790091445	131526059
2008	1041456578	224932947	263094268	603782261	130144479
2009	1058394894	233134442	295020922	626110994	131231240
2010	1088317926	232052561	299631962	530571499	129712441
2011	1057636852	205791635	313767616	449178880	116370771
2012	1065215842	232163337	332632079	509340739	108317154
2013	1084939722	279250054	365275691	544278335	133050144
2014	1115435105	305305031	380892266	542697000	134545000
2015	1115105002	270086215	403731511		
