	 Veranlagungen	 Reineinkommen	 Reinvermögen	 Einkommens- und Vermögenssteuerertrag	 Bevölkerung
2006	100	100	100	100	100
2007	100	103	96	98	100
2008	100	103	89	95	101
2009	101	104	97	91	102
2010	102	106	94	94	102
2011	102	105	91	96	102
2012	103	107	102	100	103
2013	104	110	115	99	104
2014	104	114	127	101	105
2015	104	113	114	103	105
