Klassen	Veranlagungen	Summe Gesamtsteuer
 0	1094	0
 1 bis 4 999	6975	7052029
 5 000 bis 9 999	850	6034158
 10 000 bis 19 999	692	9865303
 20 000 bis 49 999	639	20059873
 50 000 bis 99 999	287	20069752
 100 000 bis 999 999	360	100169857
 1 Mio. und mehr	62	531409764
