	Erwerb	Versicherung	Grenzgänger Deutschland u.a.	Grenzgänger aus Frankreich 	Künstler, Sport	Verwaltungsräte	Renten	Kapitalleistungen
 Ertrag 2008	178178055	709302	66739577	66714383	3018537	4083684	1803213	18981716
 Ertrag 2016	277696457	2290200	86379197	70743027	1255391	10056826	2646568	24891150
 Veranlagungen 2008 (rechte Skala)	17821	968	20554	21289	1682	140	780	5364
 Veranlagungen 2016 (rechte Skala)	30987	2360	25251	23311	1616	519	1295	7421
