Klassen	Veranlagungen	Summe Einkommenssteuer
0	28968	0
1 bis 24 999	29279	81654455
25 000 bis 49 999	26516	211417844
50 000 bis 74 999	13040	172090427
75 000 bis 99 999	6453	119609635
100 000 bis 199 999	8073	227163218
200 000 und mehr	3051	303169423
