	 Mittelwert 2006	Mittelwert Basel-Stadt 2006	 Mittelwert 2015	Mittelwert Basel-Stadt 2015
Altstadt GB	85263	62984	98117	68248
Vorstädte 	94092	62984	99422	68248
Am Ring 	64169	62984	75841	68248
Breite 	53320	62984	56292	68248
St. Alban 	89790	62984	100470	68248
Gundeldingen 	50720	62984	55575	68248
Bruderholz 	100960	62984	115298	68248
Bachletten 	71125	62984	77778	68248
Gotthelf 	63852	62984	63532	68248
Iselin 	50185	62984	51788	68248
St. Johann 	48663	62984	52273	68248
Altstadt KB	54212	62984	61193	68248
Clara 	46032	62984	49702	68248
Wettstein 	63274	62984	73498	68248
Hirzbrunnen 	56413	62984	59376	68248
Rosental 	44515	62984	51788	68248
Matthäus 	46716	62984	50044	68248
Klybeck 	44314	62984	42281	68248
Kleinhüning. 	45715	62984	45955	68248
Riehen 	85500	62984	90865	68248
Bettingen	88286	62984	122319	68248

