"Wohnviertel_id"	"Arbeitsplätze pro Kopf"	"Rang"	"Wohnviertel"	"jahr_num"
4	0.1260591	1	"Breite"	2015
7	0.1361308	2	"Bruderholz"	2015
10	0.1564077	3	"Iselin"	2015
20	0.1686329	4	"Riehen"	2015
17	0.1825223	5	"Matthäus"	2015
8	0.2139096	6	"Bachletten"	2015
30	0.2922295	7	"Bettingen"	2015
9	0.295796	8	"Gotthelf"	2015
15	0.3361932	9	"Hirzbrunnen"	2015
6	0.5846537	10	"Gundeldingen"	2015
13	0.6670431	11	"Clara"	2015
18	0.7963974	12	"Klybeck"	2015
16	0.8699138	13	"Rosental"	2015
11	0.9785721	14	"St. Johann"	2015
3	1.0218276	15	"Am Ring"	2015
12	1.6536017	16	"Altstadt Kleinbasel"	2015
14	1.8984669	17	"Wettstein"	2015
19	2.1589777	18	"Kleinhüningen"	2015
5	2.23059	19	"St. Alban"	2015
1	4.3204681	20	"Altstadt Grossbasel"	2015
2	4.422659	21	"Vorstädte"	2015

