wohnviertel_id	Sozialhilfequote	Rang	wohnviertel	jahr_num
30	0.0159529807	1	Bettingen	2017
1	0.0166023166	2	Altstadt Grossbasel	2017
7	0.0179556517	3	Bruderholz	2017
8	0.0246931835	4	Bachletten	2017
14	0.0359855335	5	Wettstein	2017
2	0.0362911266	6	Vorstädte	2017
3	0.0369102683	7	Am Ring	2017
20	0.0369328834	8	Riehen	2017
5	0.039971321	9	St. Alban	2017
9	0.046390258	10	Gotthelf	2017
15	0.048733362	11	Hirzbrunnen	2017
4	0.0592991914	12	Breite	2017
6	0.0714703225	13	Gundeldingen	2017
12	0.0799512987	14	Altstadt Kleinbasel	2017
13	0.0844760039	15	Clara	2017
11	0.0888650964	16	St. Johann	2017
10	0.0970977506	17	Iselin	2017
16	0.1117673785	18	Rosental	2017
17	0.1171948838	19	Matthäus	2017
19	0.1332630098	20	Kleinhüningen	2017
18	0.1394900069	21	Klybeck	2017
