"Wohnviertel_id"	"Erwerbstätigenquote"	"Rang"	"Wohnviertel"	"jahr_num"
18	0.6085441	1	"Klybeck"	0
19	0.632004	2	"Kleinhüningen"	0
13	0.6597515	3	"Clara"	0
17	0.6766771	4	"Matthäus"	0
11	0.7007318	5	"St. Johann"	0
10	0.7022998	6	"Iselin"	0
16	0.7069896	7	"Rosental"	0
15	0.7221371	8	"Hirzbrunnen"	0
4	0.7366764	9	"Breite"	0
7	0.7414838	10	"Bruderholz"	0
20	0.7426001	11	"Riehen"	0
30	0.7426001	12	"Bettingen"	0
12	0.7428789	13	"Altstadt Kleinbasel"	0
5	0.7457145	14	"St. Alban"	0
6	0.7515027	15	"Gundeldingen"	0
9	0.7561848	16	"Gotthelf"	0
2	0.7795234	17	"Vorstädte"	0
8	0.7890182	18	"Bachletten"	0
14	0.7898663	19	"Wettstein"	0
3	0.7999316	20	"Am Ring"	0
1	0.8330483	21	"Altstadt Grossbasel"	0

