wohnviertel_id	Sesshaftigkeit	Rang	wohnviertel	jahr_num
16	0.2088444646	1	Rosental	2017
12	0.2727272727	2	Altstadt Kleinbasel	2017
2	0.2783649053	3	Vorstädte	2017
17	0.2982168735	4	Matthäus	2017
3	0.3042553191	5	Am Ring	2017
1	0.3111969112	6	Altstadt Grossbasel	2017
13	0.3148873653	7	Clara	2017
11	0.3171841542	8	St. Johann	2017
6	0.3199426112	9	Gundeldingen	2017
10	0.3312956259	10	Iselin	2017
5	0.3366194659	11	St. Alban	2017
18	0.3419710544	12	Klybeck	2017
4	0.3470350404	13	Breite	2017
19	0.3516174402	14	Kleinhüningen	2017
9	0.3545955349	15	Gotthelf	2017
14	0.3638336347	16	Wettstein	2017
15	0.3984542722	17	Hirzbrunnen	2017
8	0.4232589088	18	Bachletten	2017
30	0.4265323258	19	Bettingen	2017
20	0.4280089989	20	Riehen	2017
7	0.431151974	21	Bruderholz	2017
