Jahr	Haushalte in Begegnungszonen	Haushalte in der Stadt Basel
2011	100	100
2012	100.397878	101.0660224
2013	101.0462717	101.6259418
2014	101.6357206	101.36373
2015	101.8567639	101.0694575
2016	102.4756852	101.3305242
