"Jahr"	"Beschäftigte pro ha"	"Beschäftigte in VZÄ"	"Fläche Kanton in ha"
2011	39.973266	147729.5978359	3695.71
2012	40.218031	148634.1781839	3695.71
2013	40.798945	150781.0675498	3695.71
2014	41.21395	152314.8077115	3695.71
2015	40.972121	151421.0790662	3695.71
2016	42.167556	151361.7074801	3589.53

