cities	Geburtenrate	Sterberate	time
Basel	9.28618414632886	9.56170450670949	2021-12-31
Bern	10.2648145740868	9.16915820163791	2021-12-31
Genf	10.8693335606658	5.91267388650224	2021-12-31
Lausanne	11.3572395221826	6.75736221621261	2021-12-31
Zürich	11.1263228806745	7.62551287147036	2021-12-31
Frankfurt a. M.	10	10	2019-01-01
Freiburg i. Br.	10	9	2019-01-01
Karlsruhe	9	10	2019-01-01
München	11	8	2019-01-01
Stuttgart	10	9	2019-01-01
Lille	12	8	2021-01-01
Lyon	13	7	2021-01-01
Metz	10	10	2021-01-01
Paris	13	7	2021-01-01
Strassburg	11	8	2021-01-01
Mailand	7	11	2022-01-01
Bologna	7	12	2022-01-01
Lissabon	12	11	2022-01-01
Porto	6	10	2022-01-01
Barcelona	7	9	2022-01-01
Madrid	8	7	2022-01-01
