cities	Obligatorische Schule	Sekundarstufe II	Tertiärstufe	time
Basel	66429.659527611	197680.853730402	205161.904400336	2021-12-31
Bern	25275.99811891	92000.2339311769	122796.651175658	2021-12-31
Genf	87938.6904073381	188217.392610725	252715.12062016	2021-12-31
Lausanne	44158.9460175539	83244.3617762189	115777.166140573	2021-12-31
Zürich	102641.715464753	271729.0703748	454493.903365123	2021-12-31
Frankfurt a. M.	302000	638000	534000	2022-01-01
Freiburg i. Br.	39000	139000	141000	2022-01-01
Karlsruhe	57000	178000	159000	2022-01-01
München	225000	661000	848000	2022-01-01
Stuttgart	248000	601000	557000	2022-01-01
Lille	134096	281134	326185	2021-01-01
Lyon	166771	408830	549014	2021-01-01
Metz	29962	81807	77623	2021-01-01
Paris	1187215	2187032	3342722	2021-01-01
Strassburg	64733	176997	186973	2021-01-01
Mailand	698460	1225878	771211	2022-01-01
Bologna	102544	181790	144133	2022-01-01
Lissabon	153540	144145	98819	2021-01-01
Porto	185425	98319	115050	2021-01-01
Barcelona	799615	676385	1360122	2022-01-01
Madrid	1048859	921710	1999555	2022-01-01
