cities	Bevölkerung	Anteil Frauen (rechte Skala)	time
Basel	873843	50.915896791528915	2021-12-31
Bern	431770	51.23051624707599	2021-12-31
Genf	993414	51.15561085307837	2021-12-31
Lausanne	439840	50.85303746817024	2021-12-31
Zürich	1436486	50.03933209234201	2021-12-31
Frankfurt a. M.	2678367	50.708958107682776	2022-01-01
Freiburg i. Br.	591713	51.292434000943025	2022-01-01
Karlsruhe	710089	49.72883680778043	2022-01-01
München	3018928	50.73867280041127	2022-01-01
Stuttgart	2527442	50.26398231888209	2022-01-01
Lille	1521660	51.860796761431594	2021-01-01
Lyon	2308818	51.69255437197735	2021-01-01
Metz	375059	51.185013557866895	2021-01-01
Paris	13171056	51.6439456335164	2021-01-01
Strassburg	864993	51.72273070417911	2021-01-01
Mailand	4934205	51.17426211517357	2022-01-01
Bologna	781954	51.73437312169258	2022-01-01
Lissabon	3030125	52.833826987335506	2022-01-01
Porto	1302734	52.70615490192165	2022-01-01
Barcelona	5093585	51.30855772506005	2022-01-01
Madrid	6982656	52.04031245417217	2022-01-01
