WohnviertelId	Wohnviertel_Name	Ausländeranteil 2016 in %	Zunahme seit 1997 in Prozentpunkten
1	Altstadt GB	27.062	11.853
2	Vorstädte	38.232	16.907
3	Am Ring	34.880	13.018
4	Breite	32.397	10.935
5	St. Alban	31.635	15.748
6	Gundeldingen	39.060	1.842
7	Bruderholz	24.153	13.574
8	Bachletten	21.778	10.118
9	Gotthelf	27.761	10.126
10	Iselin	37.513	11.547
11	St. Johann	43.400	2.749
12	Altstadt KB	37.660	13.074
13	Clara	46.334	5.130
14	Wettstein	31.799	12.712
15	Hirzbrunnen	23.998	8.116
16	Rosental	55.739	7.953
17	Matthäus	50.621	0.745
18	Klybeck	51.666	5.755
19	Kleinhüningen	46.906	7.760
20	Riehen	25.542	13.546
30	Bettingen	24.790	10.356
