Alter	Männer	Frauen
0-4	1.8	1.7
5-9	1.9	1.8
10-14	1.7	1.8
15-19	1.8	1.8
20-24	2.5	2.6
25-29	3.4	3.4
30-34	3.8	3.9
35-39	3.5	3.7
40-44	3.2	3.5
45-49	3.1	3.6
50-54	3.1	3.7
55-59	2.7	3.5
60-64	2.7	3.5
65-69	2.8	3.9
70-74	2.5	3.8
75-79	1.9	3.4
80-84	1.3	2.7
85-89	0.8	2.1
90-94	0.2	0.9
>94	0.0	0.2
