"Alter"	"Männer"	"Frauen"
"0-4"	3.53	3.33
"5-9"	3.17	3.09
"10-14"	2.90	2.56
"15-19"	3.35	3.12
"20-24"	4.13	4.12
"25-29"	5.11	5.33
"30-34"	6.29	5.51
"35-39"	5.79	4.52
"40-44"	4.80	3.47
"45-49"	4.01	2.93
"50-54"	3.54	2.40
"55-59"	3.01	1.96
"60-64"	2.07	1.48
"65-69"	1.14	0.85
"70-74"	0.51	0.64
"75-79"	0.31	0.41
"80-84"	0.09	0.18
"85-89"	0.07	0.14
"90-94"	0.02	0.09
"95 u.m."	0.01	0.01

