Datum	 Ausländische Frauen	 Ausländische Männer
2004 Jan.	18	27
2004 Feb.	25	30
2004 Mär.	29	28
2004 Apr.	29	40
2004 Mai	22	41
2004 Jun.	20	31
2004 Jul.	28	27
2004 Aug.	24	37
2004 Sept.	25	36
2004 Okt.	24	32
2004 Nov.	23	29
2004 Dez.	28	40
2005 Jan.	28	36
2005 Feb.	19	42
2005 Mär.	30	52
2005 Apr.	15	25
2005 Mai	23	19
2005 Jun.	26	30
2005 Jul.	25	39
2005 Aug.	21	34
2005 Sept.	21	29
2005 Okt.	12	26
2005 Nov.	25	35
2005 Dez.	19	35
2006 Jan.	18	30
2006 Feb.	19	26
Jan2006 Mär.	22	34
2006 Apr.	17	17
2006 Mai	15	27
2006 Jun.	23	26
2006 Jul.	17	25
2006 Aug.	22	29
2006 Sept.	25	26
2006 Okt.	13	18
2006 Nov.	18	15
2006 Dez.	22	31
2007 Jan.	24	28
2007 Feb.	30	28
2007 Mär.	17	35
2007 Apr.	20	24
2007 Mai	11	14
2007 Jun.	16	26
2007 Jul.	10	23
2007 Aug.	19	21
2007 Sept.	18	20
2007 Okt.	25	13
2007 Nov.	16	23
2007 Dez.	17	17
2008 Jan.	14	25
2008 Feb.	16	20
2008 Mär.	11	21
2008 Apr.	15	19
2008 Mai	17	13
2008 Jun.	9	12
2008 Jul.	15	9
2008 Aug.	16	22
2008 Sept.	8	18
2008 Okt.	11	25
2008 Nov.	12	31
2008 Dez.	10	32
2009 Jan.	20	30
2009 Feb.	12	23
2009 Mär.	17	18
2009 Apr.	18	22
2009 Mai	16	17
2009 Jun.	11	15
2009 Jul.	18	21
2009 Aug.	9	17
2009 Sept.	18	21
2009 Okt.	15	28
2009 Nov.	9	22
2009 Dez.	18	27
2010 Jan.	12	26
2010 Feb.	21	22
2010 Mär.	26	27
2010 Apr.	17	26
2010 Mai	14	46
2010 Jun.	11	29
2010 Jul.	20	24
2010 Aug.	19	23
2010 Sept.	10	21
2010 Okt.	16	42
2010 Nov.	14	22
2010 Dez.	13	32
2011 Jan.	20	36
2011 Feb.	15	31
2011 Mär.	101	149
2011 Apr.	28	36
2011 Mai	24	27
2011 Jun.	28	37
2011 Jul.	22	26
2011 Aug.	21	26
2011 Sept.	21	28
2011 Okt.	21	21
2011 Nov.	17	38
2011 Dez.	28	27
2012 Jan.	32	38
2012 Feb.	19	36
2012 Mär.	21	30
2012 Apr.	21	39
2012 Mai	16	33
2012 Jun.	20	31
2012 Jul.	25	15
2012 Aug.	27	20
2012 Sept.	22	31
2012 Okt.	17	26
2012 Nov.	23	28
2012 Dez.	20	39
2013 Jan.	23	41
2013 Feb.	18	39
2013 Mär.	28	31
2013 Apr.	13	27
2013 Mai	12	29
2013 Jun.	22	44
2013 Jul.	27	31
2013 Aug.	27	29
2013 Sept.	20	28
2013 Okt.	24	25
2013 Nov.	16	39
2013 Dez.	23	30
2014 Jan.	20	48
2014 Feb.	12	28
2014 Mär.	15	29
2014 Apr.	20	38
2014 Mai	23	33
2014 Jun.	25	26
2014 Jul.	12	34
2014 Aug.	12	31
2014 Sept.	22	27
2014 Okt.	24	31
2014 Nov.	15	24
2014 Dez.	17	39
2015 Jan.	13	45
2015 Feb.	21	29
2015 Mär.	15	39
2015 Apr.	24	25
2015 Mai	18	33
2015 Jun.	22	35
2015 Jul.	22	41
2015 Aug.	18	24
2015 Sept.	21	34
2015 Okt.	16	37
2015 Nov.	18	30
2015 Dez.	21	36
2016 Jan.	13	41
2016 Feb.	22	41
2016 Mär.	25	38
2016 Apr.	23	33
2016 Mai	28	44
2016 Jun.	32	43
2016 Jul.	23	36
2016 Aug.	33	33
2016 Sept.	27	26
2016 Okt.	22	36
2016 Nov.	24	39
2016 Dez.	21	45
