Alter	Schweizer	Schweizerinnen	Ausländer	Ausländerinnen
18-24 Jahre	29.3	8.2	60.7	12.3
25-34 Jahre	25	5.8	31.4	8.3
35-44 Jahre	23	8.5	31.5	9
45-59 Jahre	14.9	4.4	16	6.2
ab 60 Jahre	4.9	0.9	5.9	2.7
