Jahr	 Schweiz	 Schweizer	 Schweizerinnen	 Ausland	 Ausländer	 Ausländerinnen
2010	48.1	44.6	51.5	24.5	21.5	27.4
2011	48.4	44.5	52.5	22.9	20.5	25.2
2012	46.9	43.7	50.3	20.7	19.8	21.6
2013	46	41.7	50.7	21.3	17.3	25.3
2014	46.5	42	51.7	24.6	20.7	28.4
2015	46.8	42.6	51.8	23.1	22.4	23.8
2016	49.8	45.9	54	26	21.8	30.5
