"Land"	"Anzahl"
"Polen"	887
"Ungarn"	813
"Slowakei"	611
"Rumänien"	604
"Bulgarien"	319
"Tschechien"	241
"Slowenien"	225
"Litauen"	127
"Lettland"	82
"Estland"	33

