"Alter"	"Männer"	"Frauen"
"15-19"	5.7	5.6
"20-24"	5.7	4.1
"25-29"	5.3	4.5
"30-34"	5.2	4.7
"35-39"	5.8	4.9
"40-44"	6.3	4.9
"45-49"	5.5	3.8
"50-54"	6.8	4.1
"55-59"	7.5	4.3
"60-64"	9.4	8.6

