"Staatasngehörigkeit"	"1998"	"2017"
"Schweiz"	24.6	28.0
"Deutschland"	11.7	17.0
"Italien"	26.7	20.7
"Türkei"	66.3	29.5
"EU-17 + EFTA"	25.0	23.4
"EU-Ost"	17.0	17.0
"Balkan"	55.5	32.3
"Mittel- und Südamerika"	24.4	15.4
"Arabische Länder"	25.8	43.8
"Afrikanische Länder"	35.0	42.5
"Übrige Länder"	32.3	28.6

