Staatsangehörigkeit	 Mittelwert 2005	 Mittelwert 2014
Schweiz	63349	65597
Deutschland	83738	93739
Italien	50529	59083
Türkei	39414	36857
EU-17 + EFTA	73255	103052
EU-Ost	43951	73641
Balkan	45131	44213
Mittel- und Südamerika	38193	51741
Arabische Länder	38537	39452
Afrikanische Länder	36239	30464
Übrige Länder	75075	128932
