"Kaderstufe"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arab. Länder"	"Afrikan. Länder"	"Übrige Länder"
"Oberes Kader"	177	9	0	0	1	0	0	0	0	0	0
"Mittleres Kader"	224	20	0	0	8	0	0	0	0	0	0
"Mittleres Fachkader"	145	12	1	0	2	1	0	0	0	0	0
"Unteres Kader"	400	40	2	0	10	0	0	1	0	0	0
"Unteres Fachkader"	124	10	1	0	4	0	1	0	0	0	0

