""	"Mittelwert"	"Median"	"Anzahl Veranlagungen (rechte Skala)"
"USA"	300451	162883	529
"Australien"	201677	175566	64
"Kanada"	187043	150097	122
"Grossbritannien"	166714	129164	1005
"Belgien"	159428	98109	126
"Irland"	157356	140621	110
"Dänemark"	142692	86020	89
"Niederlande"	128648	89882	349
"Indien"	124884	119008	271
"Frankreich"	124606	74468	845

