"Alter"	"Schweiz"	"Ausland"
"18-19"	1.20	0.68
"20-24"	1.97	1.12
"25-29"	2.20	0.89
"30-34"	3.50	0.95
"35-39"	5.06	1.22
"40-44"	7.32	2.40
"45-49"	9.44	4.32
"50-54"	12.05	7.39
"55-59"	14.93	13.03
"60-64"	15.43	22.53

