"Berufsgruppe"	"Schweiz"	"Ausland"
"Bau- und Ausbaugewerbe"	19.4	80.6
"Gastgewerbe, pers. DL"	30.3	69.7
"Technische Berufe, Informatik"	40.1	59.9
"Industrie und Gewerbe"	44.8	55.2
"Land- und Forstwirtschaft"	47.8	52.2
"Handels- und Verkehrsberufe"	50.2	49.8
"Gesundheit, Lehre, Kultur"	58.6	41.4
"Banken, Versicherungen o.ä."	63.6	36.4

