Kaderstufe	 Schweiz	 Schweizer	 Schweizerinnen	 Ausland	 Ausländer	 Ausländerinnen	 Total
Ohne Kaderfunktion	3874	1450	2424	674	271	403	4548
Unteres Fachkader	113	73	40	5	2	3	118
Unteres Kader	194	114	80	13	9	4	207
Mittleres Fachkader	92	40	52	12	5	7	104
Mittleres Kader	178	111	67	24	15	9	202
Oberes Kader	68	46	22	7	2	5	75
