Alter	 Männer	 Frauen
15-19	4.0	3.3
20-24	5.0	3.1
25-29	4.3	3.6
30-34	4.8	3.6
35-39	3.3	3.1
40-44	2.6	2.7
45-49	2.2	2.1
50-54	2.8	2.2
55-59	2.6	2.1
60-64	2.9	2.5
