Staatsangehörigkeit	 Mittelwert 2005	 Mittelwert 2014
Schweiz	489125	614707
Deutschland	234541	234674
Italien	51402	99175
Türkei	5259	12722
EU-17 + EFTA	139229	247580
EU-Ost	31142	78441
Balkan	7394	14578
Mittel- und Südamerika	21982	42479
Arabische Länder	17373	21863
Afrikanische Länder	11424	12769
Übrige Länder	139185	239223
