"Wohnviertel_ID"	"Wohnviertel_Name"	"Median pro Veranlagung in Fr"
1	Altstadt Grossbasel	51000
2	Vorstädte	58511
3	Am Ring	52788
4	Breite	47242
5	St. Alban	61125
6	Gundeldingen	47248
7	Bruderholz	65113.5
8	Bachletten	57698
9	Gotthelf	50790
10	Iselin	44777
11	St. Johann	41996.5
12	Altstadt Kleinbasel	42122
13	Clara	40433
14	Wettstein	54256
15	Hirzbrunnen	51368
16	Rosental	42854
17	Matthäus	38545
18	Klybeck	37400
19	Kleinhüningen	41403
20	Riehen	63689
30	Bettingen	68593.5
