"Wohnviertel_ID"	"Wohnviertel_Name"	"Seit mindestens 10 Jahren an der gleichen Adresse lebende Personen in %"
1	Altstadt Grossbasel	31.663602941
2	Vorstädte	27.836490528
3	Am Ring	30.509418205
4	Breite	34.703504043
5	St. Alban	33.661946585
6	Gundeldingen	31.994261119
7	Bruderholz	43.115197404
8	Bachletten	42.325890877
9	Gotthelf	35.459553494
10	Iselin	33.129562585
11	St. Johann	32.190590025
12	Altstadt Kleinbasel	27.272727273
13	Clara	31.604816908
14	Wettstein	36.383363472
15	Hirzbrunnen	39.845427222
16	Rosental	20.884446464
17	Matthäus	29.93485548
18	Klybeck	34.197105445
19	Kleinhüningen	35.161744023
20	Riehen	42.800899888
30	Bettingen	42.653232578
