Kategorie	bis 29 m²	30-49 m²	50-69 m²	70-99 m²	100-149 m²	150 m² u. m.	Alle
1 Zimmer	3084	7462	391	123	64	11	11135
2 Zimmer	1	6205	17619	1546	164	22	25557
3 Zimmer		143	13468	25173	1854	115	40753
4 Zimmer			333	10333	7941	575	19182
5 Zimmer			26	650	4793	1512	6981
6 Zimmer u. m.				110	1812	3960	5882
Alle	3085	13810	31837	37935	16628	6195	109490
