jahr	Stickstoffdioxid (NO<sub>2</sub>)	Feinstaub (PM10)	Langzeitgrenzwert NO<sub>2</sub>	Langzeitgrenzwert PM10
1991	52.77638		30	
1992	49.88818		30	
1993	47.23211		30	
1994	42.71971		30	
1995	40.23138		30	
1996	43.12835		30	
1997	41.19286	28.6	30	20
1998	36.02217	24.29501	30	20
1999	36.03563	20.70362	30	20
2000	33.78914	20.8	30	20
2001	32.99406	20.1	30	20
2002	32.67156	21.8	30	20
2003	34.79605	24.73259	30	20
2004	33.33431	18.96609	30	20
2005	32.65082	21.23101	30	20
2006	33.83535	23.7	30	20
2007	31.47878	22.5	30	20
2008	32.36896	20.7	30	20
2009	32.72745	22	30	20
2010	32.44399	21.4	30	20
2011	33.232	22.27	30	20
2012	31.81037	19.143	30	20
2013	30.98476	19.08822	30	20
2014	31.87639	16.87041	30	20
2015	31.47181	18.3	30	20
2016	27.81699	16.1	30	20
2017	27.71	16.22	30	20
