Jahr	CO<sub>2</sub>-Emissionen in Tonnen	CO<sub>2</sub>-Emissionen in Tonnen pro Kopf (rechte Skala)	Bevölkerung
2010	910740.057886314	4.74477226869179	191946
2012	833179.516664555	4.3192302574627	192900
2014	764522.468207413	3.89891408977394	196086
2016	741614.435790437	3.74692782045025	197926
