"Jahr"	"Männer"	"Frauen"	"Schweiz"	"Ausland"	"Total"
1970	90.5	52.7	68.1	84.4	70.9
1980	86.2	55.0	68.6	77.0	70.1
1990	85.1	60.1	71.2	76.1	72.5
2000	78.9	66.6	73.2	71.7	72.7
2010	76.0	68.7	72.8	71.5	72.3
2016	76.5	71.6	74.4	73.5	74.0
