Jahr	Jugendquotient	20-64 Jährige	0 -19 jährige
2008	25.899725734162	119592	30974
2009	25.652130625248	120528	30918
2010	25.714877230756	120755	31052
2011	25.528693488722	122188	31193
2012	25.565557602863	123197	31496
2013	25.53126653943	124702	31838
2014	25.551861861143	125439	32052
2015	25.836095808192	125793	32500
2016	25.994575402693	126461	32873
2017	26.250571487127	126862	33302
