Jahr	Tagesbetreuung	Tagesstrukturen in den Quartieren	Tagesstrukturen in den Schulen	Tagesferien
2005	1913	467	392	
2006	1998	571	394	
2007	2101	752	488	
2008	2239	799	620	
2009	2316	819	814	153
2010	2928	910	1173	178
2011	3212	802	1510	176
2012	3457	743	2209	182
2013	3560	851	2966	193
2014	3859	919	3706	198
2015	3987	782	4096	198
2016	4161	832	4272	195
