Jahr	Sehr sicher	Eher sicher	Eher unsicher	Ganz unsicher	Keine Angaben
2003	827	577	79	9	5
2005	845	584	70	10	1
2007	756	668	75	7	3
2011	730	677	94	14	1
2015	635	738	115	15	3
