Jahr	Sehr grosse	Eher grosse	Eher nicht so grosse	Gar keine	Weiss nicht/Keine Angabe
2003	339	682	322	89	65
2005	351	713	314	78	54
2007	295	746	303	81	84
2011	391	705	302	79	39
2015	355	788	258	54	51
