Jahr	Sport und Freizeit	Kirchen, rel. Angelegenheiten	Kulturerbe	Kultur, übrige	Sport und Freizeit DHF	Kirchen, rel. Angelegenheiten CHF	Kulturerbe CHF	Kultur, übrige DHF	Bevölkerung
2008	540.5	0	437.2	382.6	102196274.1	0	82665277.2	72343443.7	189080
2009	377.8	0	487.3	357.1	72044980.3	0	92911916.3	68090488.4	190682
2010	400.2	0	499.1	354.7	76821847	0	95799828.6	68085933	191946
2011	432.6	0	512.3	364.4	83136081	0	98456401.5	70019463.3	192174
2012	464.5	4.4	579	382.6	89609934.6	840818.6	111685522.2	73803355.1	192900
2013	452.8	4.5	526.5	388.3	88135069.7	870000	102491300.3	75583778.3	194655
2014	487.8	3.8	607.5	438.1	95645989	735331.6	119117466.7	85897140.7	196086
2015	527.1	0	662.3	553.5	103847224.7	0	130478709.7	109032910	197005
2016	606.8	2.2	523	476.6	120103341.3	440000	103520112.2	94334639.3	197926
