Wohnviertel	Grünfläche
Matthäus	6.22
Altstadt Kleinbasel	8.14
Clara	9.05
Altstadt Grossbasel	9.8
Gundeldingen	10.9
Rosental	13.03
Klybeck	15.13
Am Ring	20.09
Gotthelf	22.89
Iselin	23.93
Breite	27.71
St. Johann	34.24
Vorstädte	35.02
Wettstein	38.08
Bachletten	46.71
St. Alban	86.01
Kleinhüningen	107.73
Hirzbrunnen	196.26
Bruderholz	199.99
Riehen	404.98
Bettingen	1686.65
