Jahr	Umbau- und Unterhaltsarbeiten	Gesamte Bauausgaben	Anteil am Total der Bausgaben (rechte Skala)
2005	594996	1247400	47.6988936988937
2006	533013	1276800	41.7460056390977
2007	671982	1416000	47.4563559322034
2008	562603	1439900	39.0723661365373
2009	492470	1357300	36.2830619612466
2010	403304	1163500	34.6629995702621
2011	577475	1121800	51.4775361026921
2012	699423	1458600	47.9516659810777
2013	690304	1527800	45.182877339966
2014	857564	1693700	50.6325795595442
2015	962172	1888900	50.9382180104823
2016	945838	1855800	50.966591227503
