jahr	Kanton Basel-Stadt	Kanton Genf	Kanton Zürich	BIP BS CHF	BIP GE CHF	BIP ZH CHF	Einwohner BS	Einwohner_GE	Einwohner ZH
1995	94511.2857727078	75972.8536116435	72113.0773076249	18501434791.5795	30044680526.3822	84765821512.7888	195759	395466	1175457
1996	93494.3960176371	77855.8159015403	74178.5068532119	18223273210.9857	30720970684.957	87445184446.8951	194913	394588	1178848
1997	93570.8620981016	80491.6435468299	77211.7681606671	18064135640.6248	31927734837.642	91234506223.3985	193053	396659	1181614
1998	97694.0963882796	82296.6764931506	80070.7035184464	18611213832.4492	32828967219.8827	95092688134.8386	190505	398910	1187609
1999	100875.503597658	82587.5111859825	81673.7644465394	19010795657.0074	33288300371.2004	97891642178.9243	188458	403067	1198569
2000	109033.021801276	86107.8743497928	86630.377934495	20461900102.38	35202621191.6823	104965437533.197	187667	408820	1211647
2001	117261.35369774	85159.1166239615	85932.9043143975	21865607362.6639	35223343499.7697	105433744223.368	186469	413618	1226931
2002	121841.452347636	83630.6379502836	83616.1456967499	22750114140.8983	35020078749.7674	103793725047.124	186719	418747	1241312
2003	126728.380092349	83266.1114992184	84101.42999098	23654232329.3773	35304248412.8881	105117788635.716	186653	423993	1249893
2004	133564.744800801	85841.9847799493	85243.821861751	24943616785.7839	36688520927.0112	107561506863.376	186753	427396	1261810
2005	139892.862649426	89717.6439556244	87364.4760555018	25964255200.5962	38635826757.7622	111179158583.471	185601	430638	1272590
2006	149653.593834355	95695.5190001833	92623.8096641694	27659276519.6532	41458648174.0444	118933788046.896	184822	433235	1284052
2007	158883.892518599	102137.339001424	97841.0578831349	29429586759.5426	44754232791.6271	127933738533.077	185227	438177	1307567
2008	161203.589112426	104262.019921622	98304.7894945161	30092196386.7947	46511912659.1549	131013447188.658	186672	446106	1332727
2009	158555.295159374	99920.0044620461	95025.4466814697	29792222849.8561	45292938662.6098	128407601024.33	187898	453292	1351297
2010	163145.576097882	102471.581799984	94519.2875816121	30173774299.3032	46902780063.5798	129781409161.109	184950	457715	1373068
2011	165868.433611824	101836.499826513	95307.7672533827	30893825102.3702	46899170611.1034	132706153892.541	186255	460534	1392396
2012	166502.118843679	101077.319647761	95706.186554295	31206659624.2765	46809007806.1977	134809341725.716	187425	463101	1408575
2013	163676.469956677	101832.662306956	95944.3244383664	30989684439.2474	47803612164.7413	136772280371.22	189335	469433	1425538
2014	163097.85187086	101262.409412224	95716.8148982918	31083188609.5485	48341155317.2544	138440398095.404	190580	477385	1446354
2015	163722.201470449	100778.558948725	94476.8378286383	31404701519.4572	48850995550.5691	138543102436.023	191817	484736	1466424
2016	165096.596949813	100132.268335232	93808.8066353861	31827540903.8648	49154511847.6501	139330982770.111	192781.326156225	490895.818749317	1485265.48591178
