Kanton	Standortqualität
ZG	2.19
ZH	1.41
AG	0.97
BS	0.84
NW	0.71
LU	0.66
SZ	0.64
OW	0.29
TG	0.25
AR	0.24
BL	0.17
SH	0.13
GE	0.08
AI	-0.15
SG	-0.19
SO	-0.22
VD	-0.44
BE	-0.62
NE	-0.63
UR	-0.66
GL	-0.82
FR	-0.95
TI	-1.01
GR	-1.15
VS	-1.56
JU	-1.83
