Jahr	PV-Beziehende	Wohnbevölkerung 	Anteil Pg-Beziehende
2006	52 177	187 792	0.277844637
2007	50 528	188 000	0.268765957
2008	49 684	189 556	0.26210724
2009	51 915	190 815	0.272069806
2010	51 485	190 799	0.26983894
2011	52 341	192 304	0.272178426
2012	53 403	193 459	0.276042986
2013	54 294	195 459	0.277776925
2014	50 302	196 471	0.256027607
2015	50 633	197 204	0.256754427
2016	51229	198206	0.258463417
