Funktion	Allg. Verwaltung	Öff. Sicherheit	Bildung	Kultur und Sport	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz	Volkswirtschaft	Finanzen, Steuern	Total (rechte Skala)
2008	4216	1869	5872	1303	3119	3792	800	616	240	1397	23224
2009	1022	1762	6056	1170	3398	4035	670	479	447	1417	20456
2010	2007	1806	6169	1204	3300	4133	652	495	730	1334	21830
2011	1908	1895	6333	1259	3379	4332	657	501	180	1415	21860
2012	1130	1997	6842	1373	4588	4587	923	453	88	1395	23376
2013	1278	2153	7068	1293	3109	4603	1596	440	85	1738	23363
2014	1457	2174	7437	1458	3098	4912	1313	420	120	1649	24011
2015	1807	2181	7803	1680	3094	4557	1440	464	598	1523	25147
