Jahr	Basel	Bern	Genf	Liestal	Zürich
2006	192780	149199	184588	201929	149325
2007	192780	149199	184588	201929	149331
2008	183575	146553	184588	147401	147698
2009	177304	149199	179270	141981	147698
2010	177304	149019	179166	134148	147698
2011	170961	146744	178617	138874	147686
2012	167756	146744	178617	138874	147686
2013	164520	146744	178617	138874	147400
2014	164520	146744	178617	138874	147400
2015	164520	146744	178506	138874	147400
2016	164520	146744	178506	138874	147394
