Datum	Bevölkerung
1774-12-31	16726
1815-12-31	18365
1835-12-31	23254
1837-12-31	24316
1847-12-31	28067
1850-12-31	29555
1860-12-31	40680
1870-12-31	47040
1880-12-31	64207
1888-12-31	73749
1900-12-31	112227
1901-12-31	114140
1902-12-31	116620
1903-12-31	118960
1904-12-31	121580
1905-12-31	123930
1906-12-31	126930
1907-12-31	129380
1908-12-31	130850
1909-12-31	133180
1910-12-31	136171
1911-12-31	138236
1912-12-31	141499
1913-12-31	143984
1914-12-31	141453
1915-12-31	139700
1916-12-31	139543
1917-12-31	139224
1918-12-31	137578
1919-12-31	139104
1920-12-31	140920
1921-12-31	140595
1922-12-31	141001
1923-12-31	141855
1924-12-31	142632
1925-12-31	143964
1926-12-31	146739
1927-12-31	148073
1928-12-31	150530
1929-12-31	153369
1930-12-31	155091
1931-12-31	159054
1932-12-31	163131
1933-12-31	165241
1934-12-31	167165
1935-12-31	168528
1936-12-31	168827
1937-12-31	168797
1938-12-31	169700
1939-12-31	170067
1940-12-31	169131
1941-12-31	169921
1942-12-31	170842
1943-12-31	171904
1944-12-31	173928
1945-12-31	176794
1946-12-31	181595
1947-12-31	186489
1948-12-31	190773
1949-12-31	193359
1950-12-31	196319
1951-12-31	199487
1952-12-31	201707
1953-12-31	204383
1954-12-31	206415
1955-12-31	208689
1956-12-31	211297
1957-12-31	215186
1958-12-31	218395
1959-12-31	220096
1960-12-31	222489
1961-12-31	225111
1962-12-31	228195
1963-12-31	230599
1964-12-31	231810
1965-12-31	231764
1966-12-31	232091
1967-12-31	231245
1968-12-31	232617
1969-12-31	232795
1970-12-31	236219
1971-12-31	232379
1972-12-31	229966
1973-12-31	227343
1974-12-31	224521
1975-12-31	220334
1976-12-31	217888
1977-12-31	212446
1978-12-31	210032
1979-12-31	208091
1980-12-31	206533
1981-12-31	204982
1982-12-31	203819
1983-12-31	203212
1984-12-31	202689
1985-12-31	202113
1986-12-31	199945
1987-12-31	198515
1988-12-31	196752
1989-12-31	196036
1990-12-31	196699
1991-12-31	197987
1992-12-31	198609
1993-12-31	199570
1994-12-31	199004
1995-12-31	198128
1996-12-31	196647
1997-12-31	194268
1998-12-31	192192
1999-12-31	190247
2000-12-31	188151
2001-12-31	187436
2002-12-31	188085
2003-12-31	188079
2004-12-31	188478
2005-12-31	187463
2006-12-31	187368
2007-12-31	187684
2008-12-31	189274
2009-12-31	190045
2010-12-31	190333
2011-12-31	192076
2012-12-31	193459
2013-12-31	195459
2014-12-31	196471
2015-12-31	197204
2016-12-31	198206
