Jahr	BS global	BE global	GE global	ZH global	BS kontinental	BE kontinental	GE kontinental	ZH kontinental
2000	107.5853	105.1817	106.9877	113.6136	126.6112	108.4681	124.9565	141.9549
2002	106.8432	103.9817	106.5614	112.5612	124.9015	104.3611	127.3041	137.1414
2003	104.8577	101.9157	105.4989	110.1057	117.8925	100.2264	123.2102	132.7222
2004	106.5483	103.7479	107.8142	112.066	119.0159	101.1864	122.5876	132.0871
2006	106.6269	104.3733	107.7053	111.3452	117.1611	104.8436	122.2398	130.3061
2008	107.2311	105.5164	107.2748	111.4037	135.3056	119.6274	136.8721	148.028
2010	107.8557	106.3234	107.9276	112.5485	135.9693	121.6514	135.9837	148.6229
2012	108.5761	106.9653	108.3006	113.3995	135.2396	124.955	137.5492	148.4009
2014	107.9746	106.1885	108.4709	112.5891	134.6885	120.8834	137.8176	147.5576
